epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2925,1.1401,3.08319,1.72053,0.2033,0.6,0.29252,0.222,0.96539,4.26345,1.36148,0.000272113,0.000272113,0.000272113
2,64.5562,0.78498,1.92024,1.30645,0.11133,0.73037,0.26093,0.19521,0.9554,4.08115,1.49619,0.000544337,0.000544337,0.000544337
3,93.7247,0.73652,1.79046,1.27808,0.11179,0.2,0.08318,0.05132,2.95981,5.52591,3.22931,0.000811063,0.000811063,0.000811063
4,123.126,0.74847,1.7227,1.27273,0.15013,0.575,0.22561,0.19518,0.65882,2.6876,0.97965,0.00080826,0.00080826,0.00080826
5,151.908,0.67952,1.70249,1.2242,0.44598,0.32159,0.25863,0.18657,1.15892,2.87885,1.36861,0.000800013,0.000800013,0.000800013
6,180.859,0.63203,1.67756,1.1871,0.24823,0.4125,0.27116,0.20074,1.11171,2.43213,1.36887,0.000791767,0.000791767,0.000791767
7,209.877,0.63252,1.61498,1.1829,0.17428,0.56182,0.26874,0.22174,0.73568,2.23728,1.06263,0.00078352,0.00078352,0.00078352
8,239.366,0.61945,1.58077,1.2,0.42083,0.6375,0.33411,0.30572,0.45841,1.76692,0.72837,0.000775273,0.000775273,0.000775273
9,269.384,0.59413,1.60697,1.16023,0.30002,0.60985,0.39337,0.33245,0.67428,1.80657,1.00842,0.000767026,0.000767026,0.000767026
10,299.573,0.59795,1.5344,1.1706,0.24996,0.7,0.41607,0.37925,0.40775,1.60096,0.60113,0.00075878,0.00075878,0.00075878
11,329.576,0.5462,1.52113,1.13928,0.3089,0.60637,0.38119,0.34229,0.53119,1.58604,0.70727,0.000750533,0.000750533,0.000750533
12,358.958,0.56654,1.53014,1.14117,0.33441,0.54899,0.40789,0.36048,0.42684,1.62016,0.6744,0.000742286,0.000742286,0.000742286
13,388.723,0.53243,1.51704,1.13428,0.31259,0.70267,0.44341,0.39336,0.44978,1.67193,0.67167,0.00073404,0.00073404,0.00073404
14,452.852,0.54081,1.50817,1.13054,0.30817,0.70732,0.44021,0.42435,0.28902,1.57324,0.54939,0.000725793,0.000725793,0.000725793
15,519.796,0.53667,1.47445,1.12228,0.26885,0.54813,0.3335,0.29429,0.55504,1.79402,0.79926,0.000717546,0.000717546,0.000717546
