epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8918,1.25002,3.39481,1.85551,0.00683,0.975,0.18967,0.13176,1.1487,2.93606,1.56445,0.000272113,0.000272113,0.000272113
2,41.5922,0.76354,2.53646,1.29143,0.13878,0.67039,0.25187,0.21587,0.66678,2.22802,0.99867,0.000544337,0.000544337,0.000544337
3,60.1287,0.68744,2.30161,1.23876,0.17677,0.58965,0.26849,0.22616,0.69302,2.33011,0.95714,0.000811063,0.000811063,0.000811063
4,78.5323,0.69404,2.1537,1.22994,0.19955,0.6651,0.32844,0.28852,0.53367,2.42076,0.75943,0.00080826,0.00080826,0.00080826
5,97.8004,0.6389,2.00543,1.1987,0.29388,0.50423,0.27896,0.18221,0.73275,2.51504,1.09364,0.000800013,0.000800013,0.000800013
6,116.528,0.58672,1.90117,1.15253,0.25672,0.64007,0.39387,0.36323,0.44146,1.97513,0.63182,0.000791767,0.000791767,0.000791767
7,135.812,0.58326,1.84328,1.15725,0.37329,0.70026,0.49198,0.44876,0.46055,1.56537,0.71317,0.00078352,0.00078352,0.00078352
8,153.958,0.57044,1.74761,1.16182,0.36913,0.75,0.40759,0.36347,0.50836,1.6757,0.72254,0.000775273,0.000775273,0.000775273
9,172.468,0.54375,1.70009,1.12233,0.37652,0.79073,0.48664,0.43787,0.39636,1.52241,0.64113,0.000767026,0.000767026,0.000767026
10,191.029,0.56083,1.64361,1.14747,0.36259,0.69104,0.495,0.46407,0.37793,1.46944,0.58599,0.00075878,0.00075878,0.00075878
11,209.229,0.53656,1.62517,1.12709,0.33849,0.76251,0.44888,0.40943,0.55442,1.53893,0.69972,0.000750533,0.000750533,0.000750533
12,229.026,0.52975,1.60045,1.12477,0.35655,0.7,0.50564,0.46302,0.45598,1.52204,0.73175,0.000742286,0.000742286,0.000742286
13,246.702,0.51236,1.57016,1.11734,0.35495,0.78455,0.54839,0.52102,0.35306,1.3779,0.53608,0.00073404,0.00073404,0.00073404
14,266.212,0.50268,1.55224,1.1064,0.27793,0.6625,0.357,0.32583,0.43849,1.65145,0.68003,0.000725793,0.000725793,0.000725793
15,284.707,0.50236,1.52377,1.10089,0.41665,0.64547,0.50788,0.49817,0.29126,1.36558,0.51659,0.000717546,0.000717546,0.000717546
16,303.065,0.49897,1.49227,1.09762,0.35743,0.69515,0.5028,0.46674,0.4499,1.47478,0.58209,0.000709299,0.000709299,0.000709299
17,321.888,0.49437,1.50394,1.09159,0.39922,0.74626,0.50412,0.46237,0.45078,1.54748,0.70776,0.000701053,0.000701053,0.000701053
18,340.224,0.49132,1.48596,1.09,0.3269,0.62833,0.45602,0.41328,0.4624,1.5323,0.66507,0.000692806,0.000692806,0.000692806
19,358.766,0.46806,1.44217,1.06817,0.37989,0.7875,0.52483,0.50334,0.3584,1.33755,0.57102,0.000684559,0.000684559,0.000684559
20,376.92,0.47656,1.47137,1.09162,0.46982,0.6,0.59158,0.56193,0.31082,1.28809,0.54759,0.000676313,0.000676313,0.000676313
21,395.764,0.48294,1.42781,1.0921,0.40236,0.74506,0.56004,0.54633,0.25692,1.30886,0.42809,0.000668066,0.000668066,0.000668066
22,414.189,0.45293,1.41108,1.0695,0.40111,0.66033,0.53318,0.51906,0.28435,1.33526,0.45974,0.000659819,0.000659819,0.000659819
23,432.623,0.45042,1.41818,1.06515,0.36294,0.73825,0.48531,0.46391,0.29304,1.66579,0.46334,0.000651573,0.000651573,0.000651573
24,452.217,0.45677,1.37048,1.07087,0.38614,0.75,0.55904,0.51534,0.43811,1.36518,0.60909,0.000643326,0.000643326,0.000643326
25,469.769,0.44677,1.35465,1.05702,0.40161,0.7097,0.53409,0.51448,0.31439,1.40167,0.54376,0.000635079,0.000635079,0.000635079
26,489.528,0.43299,1.33567,1.05927,0.38146,0.7,0.54604,0.53775,0.25096,1.27434,0.40977,0.000626832,0.000626832,0.000626832
