epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2036,1.76521,2.23539,1.71798,0.00385,1,0.62598,0.25677,1.67828,2.59234,1.61187,0.00048,0.00048,0.00048
2,29.9843,1.31171,1.59164,1.38344,0.97126,0.9,0.96167,0.55304,1.29211,1.52701,1.04679,0.00091532,0.00091532,0.00091532
3,44.8371,1.16865,1.28359,1.32002,0.94231,1,0.995,0.71176,1.17663,1.56715,0.77926,0.00128464,0.00128464,0.00128464
4,60.0411,1.19705,1.21356,1.30667,0.99645,1,0.995,0.71273,1.17126,1.08038,0.78851,0.00158796,0.00158796,0.00158796
5,75.0698,1.061,1.11327,1.2598,0.98079,1,0.995,0.71079,1.06191,1.19499,0.72489,0.001472,0.001472,0.001472
6,90.0044,1.14067,1.68186,1.51304,0.58431,1,0.90167,0.34716,1.42895,7.56874,1.03327,0.00134,0.00134,0.00134
7,104.721,1.02274,1.35951,1.29579,0.65291,1,0.85106,0.44537,1.72552,3.97259,1.07043,0.001208,0.001208,0.001208
8,119.73,0.97375,1.07767,1.30715,0.87413,1,0.995,0.5996,0.67386,2.83264,0.57246,0.001076,0.001076,0.001076
9,134.484,0.82854,0.97966,1.1777,0.80885,1,0.995,0.90229,0.59768,2.2378,0.53836,0.000944,0.000944,0.000944
10,149.781,0.74447,0.8423,1.11484,0.99278,1,0.995,0.85963,0.65023,1.00792,0.51003,0.000812,0.000812,0.000812
11,164.871,0.74992,0.80348,1.13234,0.99486,1,0.995,0.8955,0.5892,1.10576,0.45884,0.00068,0.00068,0.00068
12,180.003,0.64477,0.75745,1.0305,0.99514,1,0.995,0.94704,0.46634,0.66989,0.35707,0.000548,0.000548,0.000548
13,195.797,0.63309,0.73399,1.07663,0.99505,1,0.995,0.94604,0.45978,0.67095,0.35421,0.000416,0.000416,0.000416
14,210.758,0.54157,0.67859,0.97555,0.99512,1,0.995,0.94504,0.45985,0.67598,0.36602,0.000284,0.000284,0.000284
15,225.814,0.55443,0.6827,1.00899,0.99517,1,0.995,0.93304,0.49599,0.65658,0.37728,0.000152,0.000152,0.000152
