epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4863,1.30917,4.02939,1.90585,0.12442,0.175,0.14717,0.11235,1.00623,inf,1.44047,0.000272113,0.000272113,0.000272113
2,45.6356,0.73838,1.91762,1.27237,0.16972,0.78153,0.36219,0.31959,0.61255,2.45881,0.95102,0.000544337,0.000544337,0.000544337
3,65.5962,0.68753,1.71351,1.22545,0.29464,0.64253,0.41634,0.34266,0.61359,1.98649,0.95087,0.000811063,0.000811063,0.000811063
4,87.0941,0.69114,1.70819,1.22877,0.32325,0.57864,0.38088,0.34092,0.45078,2.1876,0.70717,0.00080826,0.00080826,0.00080826
5,107.201,0.66375,1.65462,1.20729,0.19438,0.4748,0.34596,0.29011,0.71813,2.24995,1.06765,0.000800013,0.000800013,0.000800013
6,128.236,0.62427,1.58832,1.17389,0.2913,0.54489,0.33624,0.295,0.59155,1.96772,0.88169,0.000791767,0.000791767,0.000791767
7,147.75,0.62302,1.61812,1.18039,0.57343,0.46154,0.54191,0.49317,0.44955,1.49808,0.69495,0.00078352,0.00078352,0.00078352
8,169.235,0.59623,1.52035,1.18209,0.48004,0.5625,0.44737,0.41818,0.4052,1.6308,0.65586,0.000775273,0.000775273,0.000775273
9,189.348,0.57504,1.53381,1.14424,0.45254,0.59868,0.52041,0.47146,0.41992,1.40581,0.68695,0.000767026,0.000767026,0.000767026
10,209.302,0.58408,1.48565,1.1591,0.72741,0.41945,0.47626,0.42059,0.45732,1.6732,0.70343,0.00075878,0.00075878,0.00075878
11,230.494,0.53793,1.46285,1.12608,0.38021,0.6625,0.3896,0.3537,0.44516,1.65571,0.70693,0.000750533,0.000750533,0.000750533
12,251.917,0.5355,1.47273,1.12435,0.31581,0.66375,0.46936,0.45001,0.33247,1.44605,0.58922,0.000742286,0.000742286,0.000742286
13,273.249,0.52283,1.44397,1.12776,0.30336,0.6,0.51245,0.48548,0.39002,1.39594,0.61629,0.00073404,0.00073404,0.00073404
14,292.872,0.51205,1.41252,1.11592,0.31972,0.65319,0.44977,0.40762,0.49475,1.50067,0.7296,0.000725793,0.000725793,0.000725793
15,313.852,0.50567,1.41562,1.10521,0.50479,0.51586,0.56462,0.52255,0.42041,1.33738,0.70874,0.000717546,0.000717546,0.000717546
16,333.685,0.49881,1.38912,1.09726,0.33202,0.60764,0.47666,0.40783,0.55581,1.60722,0.69896,0.000709299,0.000709299,0.000709299
17,353.701,0.49749,1.39432,1.09384,0.32012,0.77026,0.51526,0.4817,0.35783,1.48055,0.60871,0.000701053,0.000701053,0.000701053
18,374.48,0.51367,1.3954,1.11021,0.41205,0.65835,0.48824,0.46281,0.37282,1.34045,0.62303,0.000692806,0.000692806,0.000692806
19,394.1,0.47979,1.35083,1.07836,0.3946,0.67342,0.57088,0.54118,0.34548,1.31914,0.57445,0.000684559,0.000684559,0.000684559
20,414.804,0.51369,1.34646,1.11562,0.47241,0.51652,0.54553,0.5071,0.40616,1.24213,0.65441,0.000676313,0.000676313,0.000676313
21,434.533,0.47784,1.34346,1.09072,0.37191,0.62973,0.51436,0.47107,0.4325,1.27363,0.61853,0.000668066,0.000668066,0.000668066
22,454.872,0.4667,1.32313,1.07903,0.2937,0.7125,0.49043,0.46743,0.35837,1.3167,0.57972,0.000659819,0.000659819,0.000659819
23,474.726,0.46576,1.33433,1.07727,0.3188,0.725,0.4862,0.46421,0.3001,1.33086,0.55057,0.000651573,0.000651573,0.000651573
24,495.891,0.4686,1.29972,1.07585,0.33263,0.73945,0.51013,0.49715,0.28189,1.43468,0.49338,0.000643326,0.000643326,0.000643326
25,515.358,0.44298,1.2844,1.05604,0.49184,0.60109,0.56655,0.54464,0.32147,1.21004,0.48424,0.000635079,0.000635079,0.000635079
26,536.457,0.4385,1.28701,1.06472,0.51966,0.59139,0.57073,0.55199,0.30723,1.22914,0.50508,0.000626832,0.000626832,0.000626832
27,556.579,0.4396,1.2447,1.06441,0.38411,0.76625,0.5839,0.55078,0.34843,1.18153,0.60592,0.000618586,0.000618586,0.000618586
28,576.999,0.43274,1.24337,1.05825,0.62838,0.45221,0.54714,0.49594,0.45194,1.33606,0.63202,0.000610339,0.000610339,0.000610339
29,597.538,0.43267,1.22428,1.05012,0.45907,0.57304,0.49948,0.47706,0.33007,1.46921,0.51713,0.000602092,0.000602092,0.000602092
30,617.083,0.41181,1.2252,1.04237,0.4172,0.74393,0.54156,0.50789,0.39729,1.34957,0.52912,0.000593846,0.000593846,0.000593846
31,637.437,0.42816,1.23528,1.04793,0.37919,0.70393,0.54201,0.49143,0.36962,1.34961,0.53298,0.000585599,0.000585599,0.000585599
32,656.98,0.41455,1.19423,1.04266,0.33138,0.60964,0.48613,0.46582,0.32596,1.37961,0.53427,0.000577352,0.000577352,0.000577352
33,677.542,0.41567,1.20216,1.04006,0.42161,0.73601,0.5797,0.56192,0.27948,1.28278,0.44162,0.000569106,0.000569106,0.000569106
34,696.89,0.40884,1.17004,1.03824,0.40791,0.75277,0.52582,0.51664,0.24257,1.33995,0.45019,0.000560859,0.000560859,0.000560859
35,717.417,0.41749,1.18988,1.04841,0.55396,0.51202,0.56309,0.54457,0.26947,1.24484,0.44087,0.000552612,0.000552612,0.000552612
36,736.649,0.40417,1.16252,1.03185,0.48383,0.6125,0.57811,0.55242,0.34713,1.21174,0.51934,0.000544365,0.000544365,0.000544365
37,757.528,0.42106,1.19688,1.04525,0.4307,0.79056,0.59527,0.57115,0.30376,1.09634,0.42834,0.000536119,0.000536119,0.000536119
38,777.076,0.41648,1.16072,1.04955,0.37574,0.78663,0.56608,0.53378,0.32863,1.21258,0.49989,0.000527872,0.000527872,0.000527872
39,797.506,0.3986,1.13213,1.03697,0.51653,0.74303,0.58317,0.56636,0.28773,1.17133,0.48343,0.000519625,0.000519625,0.000519625
40,816.927,0.41691,1.15648,1.04285,0.43798,0.57319,0.55667,0.53511,0.3239,1.29717,0.47505,0.000511379,0.000511379,0.000511379
41,837.435,0.40331,1.141,1.03617,0.35806,0.70729,0.56581,0.55278,0.27382,1.22485,0.4536,0.000503132,0.000503132,0.000503132
42,856.996,0.4054,1.08992,1.03562,0.45386,0.6522,0.56804,0.55715,0.24936,1.28846,0.44319,0.000494885,0.000494885,0.000494885
43,877.008,0.39581,1.1053,1.03497,0.47694,0.61978,0.55377,0.51707,0.31062,1.35722,0.50936,0.000486639,0.000486639,0.000486639
44,897.309,0.39422,1.12337,1.0303,0.51172,0.60694,0.57475,0.56039,0.27239,1.22305,0.43207,0.000478392,0.000478392,0.000478392
45,917.022,0.39509,1.09797,1.02779,0.48127,0.66364,0.60055,0.59103,0.2409,1.26641,0.36603,0.000470145,0.000470145,0.000470145
46,937.651,0.36525,1.07343,1.01974,0.47122,0.60929,0.59936,0.59072,0.20832,1.23497,0.35277,0.000461898,0.000461898,0.000461898
47,957.519,0.36678,1.05207,1.02179,0.48001,0.58893,0.59287,0.58455,0.23075,1.22126,0.37685,0.000453652,0.000453652,0.000453652
48,977.998,0.3891,1.02926,1.02424,0.4795,0.69388,0.59582,0.57768,0.29468,1.18009,0.45624,0.000445405,0.000445405,0.000445405
49,997.133,0.37466,1.07611,1.02044,0.53579,0.67493,0.59569,0.5823,0.27789,1.24807,0.45016,0.000437158,0.000437158,0.000437158
50,1017.56,0.36724,1.0397,1.01506,0.54186,0.63063,0.63161,0.61626,0.264,1.14298,0.40441,0.000428912,0.000428912,0.000428912
51,1037.3,0.37717,1.04708,1.01875,0.44445,0.52905,0.58753,0.58017,0.23866,1.25214,0.36982,0.000420665,0.000420665,0.000420665
52,1057.75,0.37139,1.04947,1.02375,0.50116,0.69921,0.6342,0.62303,0.21543,1.19889,0.38702,0.000412418,0.000412418,0.000412418
53,1077.79,0.38802,1.03889,1.03172,0.4473,0.70513,0.61002,0.60459,0.2236,1.19939,0.383,0.000404172,0.000404172,0.000404172
54,1098.17,0.36933,1.00267,1.01054,0.44458,0.78628,0.61435,0.60295,0.21842,1.12399,0.36877,0.000395925,0.000395925,0.000395925
55,1117.89,0.36153,0.94403,1.01096,0.61066,0.52479,0.59275,0.58415,0.23318,1.28058,0.38946,0.000387678,0.000387678,0.000387678
56,1138.18,0.36453,0.95502,1.02187,0.47432,0.62046,0.58301,0.57484,0.23872,1.25376,0.4103,0.000379431,0.000379431,0.000379431
57,1158.48,0.35706,0.95959,1.00918,0.54634,0.59027,0.63695,0.62848,0.21608,1.14241,0.36978,0.000371185,0.000371185,0.000371185
58,1178.37,0.35289,0.95161,1.00952,0.51964,0.63496,0.60554,0.59481,0.23672,1.31146,0.38551,0.000362938,0.000362938,0.000362938
59,1198.78,0.3446,0.90082,1.01478,0.63538,0.54807,0.64276,0.62873,0.26136,1.22259,0.42083,0.000354691,0.000354691,0.000354691
60,1218.57,0.35044,0.91856,1.00913,0.59081,0.59813,0.59642,0.57429,0.29938,1.33014,0.39646,0.000346445,0.000346445,0.000346445
